제목,작성자,작성일,URL,본문,댓글데이터,댓글개수
성대 과학인재 조발 안하나요..?,wilco350k,2025-10-20 18:26:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29033921?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,올해는 안하나요? 너무 떨리네요 ​작년에 1차 합격자는 안내 문자 줬다는데 .. 아제발,[작성자:민주다로|내용:1차는 붙겟져뭐 전 붙어도 면접 못갈듯|날짜:2025.10.20. 18:31] || [작성자:민주다로|내용:1차는 붙겟져뭐 전 붙어도 면접 못갈듯|날짜:2025.10.20. 18:31] || [작성자:민주다로|내용:1차는 붙겟져뭐 전 붙어도 면접 못갈듯|날짜:2025.10.20. 18:31] || [작성자:민주다로|내용:1차는 붙겟져뭐 전 붙어도 면접 못갈듯|날짜:2025.10.20. 18:31] || [작성자:unknown|내용:2025.10.20. 18:31답글쓰기0|날짜:2025.10.20. 18:31] || [작성자:unknown|내용:2025.10.20. 18:31답글쓰기|날짜:2025.10.20. 18:31],6
성균관대 계열 복수전공,iIIiiIiIiIiIiIIIIiip,2025-10-19 14:46:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29032510?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,성대 계열로 입학하면 2학년때 학점따라 주전공을 선택한다고 들었습니다. 복수전공 선택또한 2학년 1학기부터 가능하다고 들었는데 그럼 주전공 선택과 동시에 복수전공 신청도 가능한 건가요?,[작성자:김치치즈볶음|내용:재학생인데 계열제는 전예생 아닌 이상 불가능한 것으로 알고 있습니다!|날짜:2025.10.19. 14:47] || [작성자:김치치즈볶음|내용:재학생인데 계열제는 전예생 아닌 이상 불가능한 것으로 알고 있습니다!|날짜:2025.10.19. 14:47] || [작성자:김치치즈볶음|내용:재학생인데 계열제는 전예생 아닌 이상 불가능한 것으로 알고 있습니다!|날짜:2025.10.19. 14:47] || [작성자:김치치즈볶음|내용:재학생인데 계열제는 전예생 아닌 이상 불가능한 것으로 알고 있습니다!|날짜:2025.10.19. 14:47] || [작성자:unknown|내용:2025.10.19. 14:47답글쓰기0|날짜:2025.10.19. 14:47] || [작성자:unknown|내용:2025.10.19. 14:47답글쓰기|날짜:2025.10.19. 14:47],6
각종 고시/자격 순위,JDC S,2025-10-17 21:06:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29030659?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,"https://m.blog.naver.com/bulja200/224030568641 2024년 대학별 로스쿨,빅로펌,CPA,입법,행정,외무,기술고시합격 순위 출처는 모 고시 전문 학원에서 가져 온겁니다... 2014년 로스쿨,판사,검사임용,빅로펌,CPA,행정고시,입... m.blog.naver.com ​","[작성자:WHITE ICEA ME RICANO|내용:고시 & 로스쿨 6대 메이져""서 고연 성 한이""  끝!!|날짜:2025.10.18. 09:55] || [작성자:WHITE ICEA ME RICANO|내용:고시 & 로스쿨 6대 메이져""서 고연 성 한이""  끝!!|날짜:2025.10.18. 09:55] || [작성자:WHITE ICEA ME RICANO|내용:고시 & 로스쿨 6대 메이져""서 고연 성 한이""  끝!!|날짜:2025.10.18. 09:55] || [작성자:WHITE ICEA ME RICANO|내용:고시 & 로스쿨 6대 메이져""서 고연 성 한이""  끝!!|날짜:2025.10.18. 09:55] || [작성자:unknown|내용:2025.10.18. 09:55답글쓰기2|날짜:2025.10.18. 09:55] || [작성자:unknown|내용:2025.10.18. 09:55답글쓰기|날짜:2025.10.18. 09:55]",6
성대 자유전공계열 1차 합 가능할까요?,사과조아여,2025-10-17 17:07:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29030361?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,,[작성자:Iliililliililii|내용:종합은 모르죠|날짜:2025.10.17. 17:30] || [작성자:Iliililliililii|내용:종합은 모르죠|날짜:2025.10.17. 17:30] || [작성자:Iliililliililii|내용:종합은 모르죠|날짜:2025.10.17. 17:30] || [작성자:Iliililliililii|내용:종합은 모르죠|날짜:2025.10.17. 17:30] || [작성자:unknown|내용:2025.10.17. 17:30답글쓰기0|날짜:2025.10.17. 17:30] || [작성자:unknown|내용:2025.10.17. 17:30답글쓰기|날짜:2025.10.17. 17:30],6
한양대 교육공학과 생기부 면접 시간,갈테야갈테야대학에가,2025-10-17 00:24:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29029660?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,혹시 작년.. 또는 최근에 학종 생기부 면접 보신 분 있으시나요?? 대력 시간을 확인해보고 싶어서 면접을 언제 보셨는지 궁금합니다.​,댓글없음,0
성균관대 자과계열 농어촌,lilliililllliliiil,2025-10-16 23:55:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29029637?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,성균관대 농어촌 자연과학계열 29명 모집하는데진학사 점수공개 했을 땐 74등인데 안 되려나요 ...ㅜ,[작성자:꽁먕꽁먕|내용:학종이니만큼 그냥 기다리는 수 밖에 없어요|날짜:2025.10.17. 00:08] || [작성자:꽁먕꽁먕|내용:학종이니만큼 그냥 기다리는 수 밖에 없어요|날짜:2025.10.17. 00:08] || [작성자:꽁먕꽁먕|내용:학종이니만큼 그냥 기다리는 수 밖에 없어요|날짜:2025.10.17. 00:08] || [작성자:꽁먕꽁먕|내용:학종이니만큼 그냥 기다리는 수 밖에 없어요|날짜:2025.10.17. 00:08] || [작성자:unknown|내용:2025.10.17. 00:08답글쓰기0|날짜:2025.10.17. 00:08] || [작성자:unknown|내용:2025.10.17. 00:08답글쓰기|날짜:2025.10.17. 00:08],6
"‼️모집마감 D-3‼️⭐️성균관대 약학과 전공체험⭐️ 📢입시멘토링, 랩실투어, 캠퍼스투어 등 진행예정💊",성대약대 알리미,2025-10-16 15:51:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29029115?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,"성균관대학교 약학대학 홍보대사 '약학과 알리미'에서 고등학교 학생들을 대상으로 💊성균관대 약학과 전공체험💊을 진행하고 있습니다.입시멘토링, 랩실투어와 캠퍼스투어, 조제 실습 등 다양한 프로그램을 진행하고 있으니 화학이나 약학과에 관심있으신 분들은 많은 관심과 참여 부탁드립니다! ☺️ 2025 2학기 성균관대학교 약학과 전공체험 신청서 2025년 11월 9일에 진행되는 성균관대학교 약학과 알리미가 주관하는 고등학생들을 대상으로 하는 전공체험입니다. 지원자가 많을 경우 각 학생들의 약학과에 대한 관심과 전공체험에 대한 열정 등을 기준으로 평가할 예정입니다. 아래의 내용을 잘 숙지한 후 작성해주시기 바랍니다. forms.gle https://forms.gle/5VKJ2BBYZve8NGTb9참가 신청 링크입니다!많은 신청 부탁드립니다 :)",댓글없음,0
2025 한경 대학법인 평가결과,JDC S,2025-10-15 09:11:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29027629?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,"대학의 재정을 뒷받침하는 학교법인의 경쟁력 확인하세요​https://www.hankyung.com/article/2025101350137 2025 INUE·한경 대학법인평가 순위 2025 INUE·한경 대학법인평가 순위, 사회 www.hankyung.com ​",[작성자:사회문화|내용:역시나 대형 병원 가진 대학들이 돈도 많이 버는군요.덕성여대는 의외네요. 상당히 재력이 좋은 대학이네요|날짜:2025.10.15. 09:21] || [작성자:사회문화|내용:역시나 대형 병원 가진 대학들이 돈도 많이 버는군요.덕성여대는 의외네요. 상당히 재력이 좋은 대학이네요|날짜:2025.10.15. 09:21] || [작성자:사회문화|내용:역시나 대형 병원 가진 대학들이 돈도 많이 버는군요.덕성여대는 의외네요. 상당히 재력이 좋은 대학이네요|날짜:2025.10.15. 09:21] || [작성자:사회문화|내용:역시나 대형 병원 가진 대학들이 돈도 많이 버는군요.덕성여대는 의외네요. 상당히 재력이 좋은 대학이네요|날짜:2025.10.15. 09:21] || [작성자:unknown|내용:2025.10.15. 09:21답글쓰기3|날짜:2025.10.15. 09:21] || [작성자:unknown|내용:2025.10.15. 09:21답글쓰기|날짜:2025.10.15. 09:21],6
성균관대 수시 1차 영상학과 합격자발표 시간,왈왈와르르르캉캉,2025-10-14 14:10:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29026318?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,오늘 몇시에 나오나여? ㅜㅜㅜ,[작성자:반짝반|내용:교과인가요?|날짜:2025.10.14. 15:31] || [작성자:반짝반|내용:교과인가요?|날짜:2025.10.14. 15:31] || [작성자:반짝반|내용:교과인가요?|날짜:2025.10.14. 15:31] || [작성자:반짝반|내용:교과인가요?|날짜:2025.10.14. 15:31] || [작성자:unknown|내용:2025.10.14. 15:31답글쓰기0|날짜:2025.10.14. 15:31] || [작성자:unknown|내용:2025.10.14. 15:31답글쓰기|날짜:2025.10.14. 15:31],6
성균관 1차 대상자 발표 질문,woninva,2025-10-14 12:49:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29026277?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,오늘 발표 난다고 알고 있는데 ㅠㅠ 영상학과는 도대체 어디서 볼 수 있는 걸까요...... 홈페이지에 계속 안뜨네요,[작성자:tot5o|내용:다음주 화요일 아니에요?|날짜:2025.10.14. 12:53] || [작성자:tot5o|내용:다음주 화요일 아니에요?|날짜:2025.10.14. 12:53] || [작성자:tot5o|내용:다음주 화요일 아니에요?|날짜:2025.10.14. 12:53] || [작성자:tot5o|내용:다음주 화요일 아니에요?|날짜:2025.10.14. 12:53] || [작성자:unknown|내용:2025.10.14. 12:53답글쓰기0|날짜:2025.10.14. 12:53] || [작성자:unknown|내용:2025.10.14. 12:53답글쓰기|날짜:2025.10.14. 12:53],6
