제목,URL,본문,댓글개수
파이팅입니다.,https://cafe.naver.com/f-e/cafes/10197921/articles/29037209?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,파이팅~,0
예비고3 인강 추천해주세요.,https://cafe.naver.com/f-e/cafes/10197921/articles/29037199?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"예비고3 입니다. 내신은 1학년때 평균 3.8등급, 1학기는 평균5등급이였습니다. 농학과, 생명공학 쪽으로 진로를 희망합니다. 모의고사 준비를 한번도 해보지 않았습니다. 그래서 전 수능을 좀 잘 보고 싶습니다. 그래서 이번 대성마이맥 19패스를 구매하려고 합니다. 수능을 보고자 하는 선택과목은 화법과 작문, 미적분, 생명과학I, 지구과학I을 선택하고자합니다. 인강 선생님을 추천해주세요.. 그리고 대성 말고도 사용해보면 좋은 자료나.. 공부법도 알려주시면 감사하겠습니다.",0
예비 고3 겨울방학 수학,https://cafe.naver.com/f-e/cafes/10197921/articles/29037060?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,고2 9모 2입니다. 겨울방학에 수학 공부 방향을 어떻게 잡아야할지 잘 모르겠어요. 인강 대성이나 메가 패스 끊을거고 특히 수1이 가물가물해요. 수2는 그나마 좀 나은거 같아요. 겨울방학에 어느정도 하면 3모에서 2등급 정도 나올지 궁금합니다 그리고 수능 기하 선택하려는데 선택과목 공부 비중이 어느정도이면 좋을지도 알려주시면 감사하겠습니다.,6
영어 모의고사 유형 인강,https://cafe.naver.com/f-e/cafes/10197921/articles/29037005?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"고1인데 모의고사에서 빈칸삽입, 순서배열 유형만 꾸준히 틀려서요위와 같이 유형별로 모의고사 푸는 방식 꼼꼼하게 설명해주시는 인강 있을까요?노베 대상 말고요! 등급은 1등급 나옵니다",6
지역인재 파티로인한 일반정시 과열,https://cafe.naver.com/f-e/cafes/10197921/articles/29036950?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,되도않는 지방 2.0들을 교과로 의대 보내주려고 서울경기인천 거주 남학생들이 쓸수있은수능 일반정시의대는 689명밖에안돼고치대도 100명 좀 넘는데 ​고작 55만명중 800등안에 들어야 의치대를 가게하는건 도대체 무슨 심리인지 의전원 시절에도 이정도로 안심했을거같은데 ​너무 씁쓸하네요 진짜 매우 잘봐도 의대를 못갈수도있다는거니,0
자퇴 검정고시 후 수능 응시 관련 질문입니다.,https://cafe.naver.com/f-e/cafes/10197921/articles/29036907?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,현재 고2인 학생입니다.제가 정시로 1학기 끝나고부터 아예 정시로 정해서 자퇴를 결정하려고 하고 있습니다.내년 8월 검정고시를 봐야하는 상황인데 합격발표일이 항상 수능 지원 기간과 겹치더라고요.만약 내년 8월 검정고시 합격발표일이 수능 지원기간보다 늦어지면 수능 원서 접수를 못하게 되는것일까요?아시는분 있다면 알려주시면 감사하겠습니다.,6
면접시 복수전공,https://cafe.naver.com/f-e/cafes/10197921/articles/29036895?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,저는 약물전달 연구를 하고 싶습니다. 바이오관련 학과지원했구요!!설계 연구시에 필요하다면 생명과학쪽 복수전공도 생각하고있다고 답해도 될까요? 지원한 학과는 바이오에 대해 딥하게 배우지는 않아요,6
지구과학 노베,https://cafe.naver.com/f-e/cafes/10197921/articles/29036464?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"수특,수완만 풀면 모고 몇 등급 정도 나올까요?🥺🥺🥺🥺",6
면접 때 화장 하면 안되겠죠?,https://cafe.naver.com/f-e/cafes/10197921/articles/29036201?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,면접 보러 갈 때 제가 피부가 안 좋아서 피부만 가리는 정도만 하려고 하는데 이것도 많이 불리할까요..평소에도 피부 이외엔 눈이나 입술 이런 거 안 바르긴 해요!!,6
하 수능때 생명 1받기 ㄱㄴ?,https://cafe.naver.com/f-e/cafes/10197921/articles/29036115?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,하..,0
